proteina,ligando,afinidad_kcal_mol,estado,log
3ghg,CTAB_cetyltrimethylammonium_cation,-4.771,ok,logs_final\3ghg_CTAB_cetyltrimethylammonium_cation_log.txt
3ghg,Citric_acid,-4.77,ok,logs_final\3ghg_Citric_acid_log.txt
3ghg,Sodium_citrate_citrate3-,-4.75,ok,logs_final\3ghg_Sodium_citrate_citrate3-_log.txt
3ghg,11-Mercaptoundecanoic_acid_MUA,-4.747,ok,logs_final\3ghg_11-Mercaptoundecanoic_acid_MUA_log.txt
3ghg,Lipoic_acid_thioctic_acid,-4.704,ok,logs_final\3ghg_Lipoic_acid_thioctic_acid_log.txt
3ghg,Dihydrolipoic_acid_DHLA,-4.616,ok,logs_final\3ghg_Dihydrolipoic_acid_DHLA_log.txt
3ghg,Histidine,-4.574,ok,logs_final\3ghg_Histidine_log.txt
3ghg,Arginine,-4.538,ok,logs_final\3ghg_Arginine_log.txt
3ghg,D-Galactose,-4.424,ok,logs_final\3ghg_D-Galactose_log.txt
3ghg,PVP_monomer_N-vinyl-2-pyrrolidone,-4.263,ok,logs_final\3ghg_PVP_monomer_N-vinyl-2-pyrrolidone_log.txt
3ghg,1-Dodecanethiol,-4.179,ok,logs_final\3ghg_1-Dodecanethiol_log.txt
3ghg,Lysine,-4.158,ok,logs_final\3ghg_Lysine_log.txt
3ghg,Dithiothreitol_DTT,-4.046,ok,logs_final\3ghg_Dithiothreitol_DTT_log.txt
3ghg,6-Mercaptohexanoic_acid,-3.881,ok,logs_final\3ghg_6-Mercaptohexanoic_acid_log.txt
3ghg,Methionine,-3.829,ok,logs_final\3ghg_Methionine_log.txt
3ghg,L-Homocysteine,-3.825,ok,logs_final\3ghg_L-Homocysteine_log.txt
3ghg,4-Aminothiophenol,-3.797,ok,logs_final\3ghg_4-Aminothiophenol_log.txt
3ghg,2-Mercaptosuccinic_acid,-3.709,ok,logs_final\3ghg_2-Mercaptosuccinic_acid_log.txt
3ghg,mPEG-thiol_n_6_methyl-capped,-3.657,ok,logs_final\3ghg_mPEG-thiol_n_6_methyl-capped_log.txt
3ghg,PEG-amine_n_3_proxy,-3.632,ok,logs_final\3ghg_PEG-amine_n_3_proxy_log.txt
3ghg,Tris_buffer_Tris_base,-3.589,ok,logs_final\3ghg_Tris_buffer_Tris_base_log.txt
3ghg,3-Mercapto-1-propanesulfonic_acid_MPS,-3.535,ok,logs_final\3ghg_3-Mercapto-1-propanesulfonic_acid_MPS_log.txt
3ghg,PEG-thiol_n_6,-3.392,ok,logs_final\3ghg_PEG-thiol_n_6_log.txt
3ghg,PEG-thiol_n_4,-3.39,ok,logs_final\3ghg_PEG-thiol_n_4_log.txt
3ghg,L-Cysteine,-3.351,ok,logs_final\3ghg_L-Cysteine_log.txt
3ghg,PEG-dithiol_n_3,-3.329,ok,logs_final\3ghg_PEG-dithiol_n_3_log.txt
3ghg,PEG-thiol_n_3,-3.186,ok,logs_final\3ghg_PEG-thiol_n_3_log.txt
3ghg,1-Hexanethiol,-3.182,ok,logs_final\3ghg_1-Hexanethiol_log.txt
3ghg,3-Mercaptopropionic_acid,-3.109,ok,logs_final\3ghg_3-Mercaptopropionic_acid_log.txt
3ghg,mPEG-thiol_n_3_methyl-capped,-3.096,ok,logs_final\3ghg_mPEG-thiol_n_3_methyl-capped_log.txt
3ghg,Thioglycolic_acid_mercaptoacetic_acid,-3.024,ok,logs_final\3ghg_Thioglycolic_acid_mercaptoacetic_acid_log.txt
3ghg,Polyethyleneimine_fragment_ethylenediamine,-2.935,ok,logs_final\3ghg_Polyethyleneimine_fragment_ethylenediamine_log.txt
3ghg,Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol,-2.863,ok,logs_final\3ghg_Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol_log.txt
3ghg,1-Butanethiol,-2.861,ok,logs_final\3ghg_1-Butanethiol_log.txt
3ghg,Thioacetic_acid,-2.48,ok,logs_final\3ghg_Thioacetic_acid_log.txt
3ghg,Cysteamine_2-aminoethanethiol,-2.44,ok,logs_final\3ghg_Cysteamine_2-aminoethanethiol_log.txt
3ghg,Mercaptoethanol_2-mercaptoethanol,-2.187,ok,logs_final\3ghg_Mercaptoethanol_2-mercaptoethanol_log.txt
