ligando,nanoparticula,proteina,ICNB_0_100,ICNB_global_0_100,ICNB_bruto,ranking_ICNB_por_proteina,ranking_ICNB_global,y_ligando_proteina,E_nano_proteina,score_ligando_proteina,score_nano_proteina,score_contextual,score_contextual_medio
1-Dodecanethiol,Au_13,1ao6,22.316560150998242,22.385840903971047,-0.37463552739633993,101,305,-4.709,-2.34,-0.0616409459422798,-0.6876301088504001,-0.74927105479268,-0.37463552739634
Citric_acid,Ag_13,1ao6,22.296310242858294,22.36565255651569,-0.37530170248442596,102,306,-4.765,-2.24,-0.0241971621607227,-0.7264062428081293,-0.750603404968852,-0.375301702484426
Mannose,Ag_13,1ao6,21.84916454974719,21.919866207594712,-0.39001176039860896,103,308,-4.721,-2.24,-0.0536172779890887,-0.7264062428081293,-0.780023520797218,-0.390011760398609
1-Dodecanethiol,Ag_13,1ao6,21.72721572435325,21.79828811243444,-0.3940235943752045,104,309,-4.709,-2.24,-0.0616409459422798,-0.7264062428081293,-0.7880471887504091,-0.3940235943752045
Lysine,Au_13,1ao6,21.12755910340735,21.200454476158438,-0.4137509086681451,105,312,-4.592,-2.34,-0.1398717084858901,-0.6876301088504001,-0.8275018173362902,-0.4137509086681451
Lysine,Ag_13,1ao6,20.538214676762358,20.612901684621832,-0.43313897564700965,106,319,-4.592,-2.24,-0.1398717084858901,-0.7264062428081293,-0.8662779512940194,-0.4331389756470097
4-Aminothiophenol,Au_13,1ao6,20.395866151043727,20.470985905196834,-0.4378219125277175,107,320,-4.52,-2.34,-0.188013716205035,-0.6876301088504001,-0.875643825055435,-0.4378219125277175
4-Aminothiophenol,Ag_13,1ao6,19.806521724398728,19.883433113660224,-0.45720997950658215,108,324,-4.52,-2.24,-0.188013716205035,-0.7264062428081293,-0.9144199590131644,-0.4572099795065821
PVP_monomer_N-vinyl-2-pyrrolidone,Au_13,1ao6,19.59303638386697,19.670596778725074,-0.46423315287363714,109,327,-4.441,-2.34,-0.2408361968968742,-0.6876301088504001,-0.9284663057472744,-0.4642331528736372
PVP_monomer_N-vinyl-2-pyrrolidone,Ag_13,1ao6,19.003691957221974,19.083043987188464,-0.4836212198525017,110,329,-4.441,-2.24,-0.2408361968968742,-0.7264062428081293,-0.9672424397050036,-0.4836212198525017
mPEG-thiol_n_6_methyl-capped,Au_13,1ao6,17.97721444739729,18.059687017851527,-0.5173899530635262,111,336,-4.282,-2.34,-0.3471497972766522,-0.6876301088504001,-1.0347799061270524,-0.5173899530635262
2-Mercaptosuccinic_acid,Au_13,1ao6,17.85526562200335,17.938108922691256,-0.5214017870401217,112,338,-4.27,-2.34,-0.3551734652298433,-0.6876301088504001,-1.0428035740802435,-0.5214017870401217
mPEG-thiol_n_6_methyl-capped,Ag_13,1ao6,17.3878700207523,17.47213422631492,-0.5367780200423907,113,348,-4.282,-2.24,-0.3471497972766522,-0.7264062428081293,-1.0735560400847814,-0.5367780200423907
2-Mercaptosuccinic_acid,Ag_13,1ao6,17.265921195358356,17.350556131154647,-0.5407898540189863,114,350,-4.27,-2.24,-0.3551734652298433,-0.7264062428081293,-1.0815797080379723,-0.5407898540189863
PEG-amine_n_3_proxy,Au_13,1ao6,16.66626457441246,16.752722494878647,-0.5605171683119269,115,353,-4.153,-2.34,-0.4334042277734536,-0.6876301088504001,-1.1210343366238538,-0.5605171683119269
PEG-thiol_n_4,Au_13,1ao6,16.26993089188216,16.357593685607775,-0.5735556287358619,116,358,-4.114,-2.34,-0.4594811486213235,-0.6876301088504001,-1.1471112574717237,-0.5735556287358619
